Product Code,Date,Actual
1147437,M 02.2017,576
1147437,M 03.2017,1152
1147437,M 04.2017,432
1147437,M 05.2017,1296
1147437,M 06.2017,1153
1147437,M 07.2017,816
1147437,M 08.2017,1344
1147437,M 09.2017,672
1147437,M 10.2017,2021
1147437,M 11.2017,1777
1147437,M 12.2017,1248
1147437,M 01.2018,865
1147437,M 02.2018,528
1147437,M 03.2018,864
1147437,M 04.2018,1008
1147437,M 05.2018,1200
1147437,M 06.2018,912
1147437,M 07.2018,1152
1147437,M 08.2018,960
1147437,M 09.2018,1200
1147437,M 10.2018,960
1147437,M 11.2018,720
1147437,M 12.2018,864
1147437,M 01.2019,960
1147437,M 02.2019,576
1147437,M 03.2019,800
1147437,M 04.2019,2484
1147437,M 05.2019,1152
1147437,M 06.2019,1824
1147437,M 07.2019,1488
1147437,M 08.2019,1632
1147437,M 09.2019,1536
1147464,M 02.2017,4416
1147464,M 03.2017,7680
1147464,M 04.2017,2256
1147464,M 05.2017,6096
1147464,M 06.2017,6288
1147464,M 07.2017,4560
1147464,M 08.2017,5762
1147464,M 09.2017,4080
1147464,M 10.2017,6250
1147464,M 11.2017,5712
1147464,M 12.2017,5283
1147464,M 01.2018,4040
1147464,M 02.2018,26688
1147464,M 03.2018,4512
1147464,M 04.2018,3792
1147464,M 05.2018,3600
1147464,M 06.2018,4464
1147464,M 07.2018,4563
1147464,M 08.2018,5137
1147464,M 09.2018,3648
1147464,M 10.2018,6432
1147464,M 11.2018,4489
1147464,M 12.2018,5472
1147464,M 01.2019,3120
1147464,M 02.2019,4032
1147464,M 03.2019,4208
1147464,M 04.2019,3552
1147464,M 05.2019,4656
1147464,M 06.2019,4128
1147464,M 07.2019,5568
1147464,M 08.2019,4608
1147464,M 09.2019,6192
1147465,M 02.2017,4176
1147465,M 03.2017,6036
1147465,M 04.2017,2568
1147465,M 05.2017,4692
1147465,M 06.2017,5293
1147465,M 07.2017,2905
1147465,M 08.2017,5113
1147465,M 09.2017,3972
1147465,M 10.2017,4131
1147465,M 11.2017,5856
1147465,M 12.2017,4680
1147465,M 01.2018,4032
1147465,M 02.2018,27324
1147465,M 03.2018,3888
1147465,M 04.2018,3696
1147465,M 05.2018,4320
1147465,M 06.2018,3552
1147465,M 07.2018,4320
1147465,M 08.2018,4080
1147465,M 09.2018,3265
1147465,M 10.2018,5232
1147465,M 11.2018,5136
1147465,M 12.2018,4848
1147465,M 01.2019,3361
1147465,M 02.2019,3792
1147465,M 03.2019,4000
1147465,M 04.2019,3288
1147465,M 05.2019,4128
1147465,M 06.2019,3600
1147465,M 07.2019,4560
1147465,M 08.2019,3648
1147465,M 09.2019,3216
1147468,M 02.2017,624
1147468,M 03.2017,408
1147468,M 04.2017,432
1147468,M 05.2017,420
1147468,M 06.2017,156
1147468,M 07.2017,397
1147468,M 08.2017,216
1147468,M 09.2017,384
1147468,M 10.2017,516
1147468,M 11.2017,408
1147468,M 12.2017,84
1147468,M 01.2018,500
1147468,M 02.2018,240
1147468,M 03.2018,204
1147468,M 04.2018,291
1147468,M 05.2018,288
1147468,M 06.2018,336
1147468,M 07.2018,576
1147468,M 08.2018,500
1147468,M 09.2018,252
1147468,M 10.2018,1227
1147468,M 11.2018,324
1147468,M 12.2018,500
1147468,M 01.2019,400
1147468,M 02.2019,900
1147468,M 03.2019,700
1147468,M 04.2019,
1147468,M 05.2019,
1147468,M 06.2019,1223
1147468,M 07.2019,156
1147468,M 08.2019,156
1147468,M 09.2019,168
1147506,M 02.2017,3636
1147506,M 03.2017,5040
1147506,M 04.2017,3996
1147506,M 05.2017,4428
1147506,M 06.2017,4680
1147506,M 07.2017,4176
1147506,M 08.2017,4500
1147506,M 09.2017,2556
1147506,M 10.2017,3636
1147506,M 11.2017,3780
1147506,M 12.2017,3564
1147506,M 01.2018,3276
1147506,M 02.2018,2988
1147506,M 03.2018,3960
1147506,M 04.2018,3492
1147506,M 05.2018,3960
1147506,M 06.2018,4104
1147506,M 07.2018,4284
1147506,M 08.2018,5801
1147506,M 09.2018,3168
1147506,M 10.2018,4212
1147506,M 11.2018,3996
1147506,M 12.2018,2196
1147506,M 01.2019,3960
1147506,M 02.2019,4392
1147506,M 03.2019,3516
1147506,M 04.2019,756
1147506,M 05.2019,2196
1147506,M 06.2019,3348
1147506,M 07.2019,4680
1147506,M 08.2019,5220
1147506,M 09.2019,4032
1147507,M 02.2017,1980
1147507,M 03.2017,3244
1147507,M 04.2017,2052
1147507,M 05.2017,1704
1147507,M 06.2017,1656
1147507,M 07.2017,2052
1147507,M 08.2017,2484
1147507,M 09.2017,1656
1147507,M 10.2017,1944
1147507,M 11.2017,1296
1147507,M 12.2017,1836
1147507,M 01.2018,756
1147507,M 02.2018,1260
1147507,M 03.2018,1620
1147507,M 04.2018,2376
1147507,M 05.2018,1836
1147507,M 06.2018,3244
1147507,M 07.2018,3244
1147507,M 08.2018,1692
1147507,M 09.2018,1836
1147507,M 10.2018,2880
1147507,M 11.2018,1188
1147507,M 12.2018,1512
1147507,M 01.2019,1620
1147507,M 02.2019,2604
1147507,M 03.2019,1912
1147507,M 04.2019,5652
1147507,M 05.2019,9252
1147507,M 06.2019,4572
1147507,M 07.2019,6696
1147507,M 08.2019,11268
1147507,M 09.2019,8316
1147509,M 02.2017,9024
1147509,M 03.2017,11856
1147509,M 04.2017,3648
1147509,M 05.2017,21346
1147509,M 06.2017,17762
1147509,M 07.2017,18720
1147509,M 08.2017,18495
1147509,M 09.2017,10320
1147509,M 10.2017,21346
1147509,M 11.2017,21346
1147509,M 12.2017,21346
1147509,M 01.2018,9840
1147509,M 02.2018,15338
1147509,M 03.2018,11799
1147509,M 04.2018,4134
1147509,M 05.2018,11905
1147509,M 06.2018,8400
1147509,M 07.2018,8400
1147509,M 08.2018,8160
1147509,M 09.2018,8400
1147509,M 10.2018,12794
1147509,M 11.2018,7728
1147509,M 12.2018,21346
1147509,M 01.2019,5040
1147509,M 02.2019,6912
1147509,M 03.2019,8081
1147509,M 04.2019,7200
1147509,M 05.2019,7200
1147509,M 06.2019,7200
1147509,M 07.2019,14400
1147509,M 08.2019,
1147509,M 09.2019,15120
1147511,M 02.2017,240
1147511,M 03.2017,768
1147511,M 04.2017,288
1147511,M 05.2017,528
1147511,M 06.2017,528
1147511,M 07.2017,144
1147511,M 08.2017,288
1147511,M 09.2017,192
1147511,M 10.2017,432
1147511,M 11.2017,240
1147511,M 12.2017,240
1147511,M 01.2018,48
1147511,M 02.2018,192
1147511,M 03.2018,336
1147511,M 04.2018,336
1147511,M 05.2018,432
1147511,M 06.2018,288
1147511,M 07.2018,192
1147511,M 08.2018,240
1147511,M 09.2018,528
1147511,M 10.2018,528
1147511,M 11.2018,576
1147511,M 12.2018,960
1147511,M 01.2019,480
1147511,M 02.2019,240
1147511,M 03.2019,560
1147511,M 04.2019,288
1147511,M 05.2019,288
1147511,M 06.2019,192
1147511,M 07.2019,
1147511,M 08.2019,528
1147511,M 09.2019,240
1147513,M 02.2017,
1147513,M 03.2017,
1147513,M 04.2017,
1147513,M 05.2017,
1147513,M 06.2017,
1147513,M 07.2017,
1147513,M 08.2017,
1147513,M 09.2017,
1147513,M 10.2017,
1147513,M 11.2017,
1147513,M 12.2017,
1147513,M 01.2018,
1147513,M 02.2018,
1147513,M 03.2018,
1147513,M 04.2018,
1147513,M 05.2018,
1147513,M 06.2018,
1147513,M 07.2018,1872
1147513,M 08.2018,1400
1147513,M 09.2018,1800
1147513,M 10.2018,3096
1147513,M 11.2018,2000
1147513,M 12.2018,3000
1147513,M 01.2019,1200
1147513,M 02.2019,1856
1147513,M 03.2019,1379
1147513,M 04.2019,432
1147513,M 05.2019,1512
1147513,M 06.2019,1608
1147513,M 07.2019,1536
1147513,M 08.2019,768
1147513,M 09.2019,1680
1147514,M 02.2017,6816
1147514,M 03.2017,9792
1147514,M 04.2017,7536
1147514,M 05.2017,9600
1147514,M 06.2017,7489
1147514,M 07.2017,6480
1147514,M 08.2017,9408
1147514,M 09.2017,7440
1147514,M 10.2017,6384
1147514,M 11.2017,9264
1147514,M 12.2017,9168
1147514,M 01.2018,9504
1147514,M 02.2018,7056
1147514,M 03.2018,8352
1147514,M 04.2018,7296
1147514,M 05.2018,10416
1147514,M 06.2018,7872
1147514,M 07.2018,6624
1147514,M 08.2018,8400
1147514,M 09.2018,7248
1147514,M 10.2018,9985
1147514,M 11.2018,9264
1147514,M 12.2018,10032
1147514,M 01.2019,9168
1147514,M 02.2019,9312
1147514,M 03.2019,9504
1147514,M 04.2019,8448
1147514,M 05.2019,9324
1147514,M 06.2019,8400
1147514,M 07.2019,9792
1147514,M 08.2019,8832
1147514,M 09.2019,7824
