APPLIED_DATE,GROUP,BRANCH_ID,STATE,ZONE,APPLICATION_COUNT
2017-04-01,1,0,WEST BENGAL,EAST,55.0
2017-04-03,1,0,WEST BENGAL,EAST,10.0
2017-04-04,1,0,WEST BENGAL,EAST,13.0
2017-04-05,1,0,WEST BENGAL,EAST,125.0
2017-04-07,1,0,WEST BENGAL,EAST,83.0
2017-04-12,1,0,WEST BENGAL,EAST,137.0
2017-04-13,1,0,WEST BENGAL,EAST,87.0
2017-04-14,1,0,WEST BENGAL,EAST,132.0
2017-04-15,1,0,WEST BENGAL,EAST,142.0
2017-04-16,1,0,WEST BENGAL,EAST,46.0
2017-04-17,1,0,WEST BENGAL,EAST,148.0
2017-04-18,1,0,WEST BENGAL,EAST,111.0
2017-04-19,1,0,WEST BENGAL,EAST,150.0
2017-04-20,1,0,WEST BENGAL,EAST,89.0
2017-04-21,1,0,WEST BENGAL,EAST,125.0
2017-04-22,1,0,WEST BENGAL,EAST,94.0
2017-04-23,1,0,WEST BENGAL,EAST,49.0
2017-04-24,1,0,WEST BENGAL,EAST,119.0
2017-04-25,1,0,WEST BENGAL,EAST,122.0
2017-04-26,1,0,WEST BENGAL,EAST,138.0
2017-04-27,1,0,WEST BENGAL,EAST,125.0
2017-04-28,1,0,WEST BENGAL,EAST,121.0
2017-04-29,1,0,WEST BENGAL,EAST,134.0
2017-04-30,1,0,WEST BENGAL,EAST,500.0
2017-05-01,1,0,WEST BENGAL,EAST,133.0
2017-05-02,1,0,WEST BENGAL,EAST,24.0
2017-05-03,1,0,WEST BENGAL,EAST,24.0
2017-05-04,1,0,WEST BENGAL,EAST,21.0
2017-05-05,1,0,WEST BENGAL,EAST,195.0
2017-05-07,1,0,WEST BENGAL,EAST,39.0
2017-05-08,1,0,WEST BENGAL,EAST,8.0
2017-05-09,1,0,WEST BENGAL,EAST,14.0
2017-05-10,1,0,WEST BENGAL,EAST,157.0
2017-05-11,1,0,WEST BENGAL,EAST,101.0
2017-05-12,1,0,WEST BENGAL,EAST,127.0
2017-05-13,1,0,WEST BENGAL,EAST,91.0
2017-05-14,1,0,WEST BENGAL,EAST,64.0
2017-05-15,1,0,WEST BENGAL,EAST,179.0
2017-05-16,1,0,WEST BENGAL,EAST,141.0
2017-05-17,1,0,WEST BENGAL,EAST,146.0
2017-05-18,1,0,WEST BENGAL,EAST,122.0
2017-05-19,1,0,WEST BENGAL,EAST,104.0
2017-05-20,1,0,WEST BENGAL,EAST,101.0
2017-05-21,1,0,WEST BENGAL,EAST,59.0
2017-05-22,1,0,WEST BENGAL,EAST,151.0
2017-05-23,1,0,WEST BENGAL,EAST,120.0
2017-05-24,1,0,WEST BENGAL,EAST,130.0
2017-05-25,1,0,WEST BENGAL,EAST,113.0
2017-05-26,1,0,WEST BENGAL,EAST,114.0
2017-05-27,1,0,WEST BENGAL,EAST,118.0
2017-05-28,1,0,WEST BENGAL,EAST,80.0
2017-05-29,1,0,WEST BENGAL,EAST,136.0
2017-05-30,1,0,WEST BENGAL,EAST,134.0
2017-05-31,1,0,WEST BENGAL,EAST,494.0
2017-06-01,1,0,WEST BENGAL,EAST,9.0
2017-06-02,1,0,WEST BENGAL,EAST,51.0
2017-06-03,1,0,WEST BENGAL,EAST,46.0
2017-06-04,1,0,WEST BENGAL,EAST,34.0
2017-06-05,1,0,WEST BENGAL,EAST,140.0
2017-06-06,1,0,WEST BENGAL,EAST,29.0
2017-06-07,1,0,WEST BENGAL,EAST,123.0
2017-06-08,1,0,WEST BENGAL,EAST,112.0
2017-06-09,1,0,WEST BENGAL,EAST,171.0
2017-06-10,1,0,WEST BENGAL,EAST,157.0
2017-06-11,1,0,WEST BENGAL,EAST,82.0
2017-06-12,1,0,WEST BENGAL,EAST,184.0
2017-06-13,1,0,WEST BENGAL,EAST,158.0
2017-06-14,1,0,WEST BENGAL,EAST,190.0
2017-06-15,1,0,WEST BENGAL,EAST,165.0
2017-06-16,1,0,WEST BENGAL,EAST,167.0
2017-06-17,1,0,WEST BENGAL,EAST,188.0
2017-06-18,1,0,WEST BENGAL,EAST,100.0
2017-06-19,1,0,WEST BENGAL,EAST,221.0
2017-06-20,1,0,WEST BENGAL,EAST,195.0
2017-06-21,1,0,WEST BENGAL,EAST,244.0
2017-06-22,1,0,WEST BENGAL,EAST,229.0
2017-06-23,1,0,WEST BENGAL,EAST,273.0
2017-06-24,1,0,WEST BENGAL,EAST,338.0
2017-06-25,1,0,WEST BENGAL,EAST,310.0
2017-06-26,1,0,WEST BENGAL,EAST,155.0
2017-06-27,1,0,WEST BENGAL,EAST,177.0
2017-06-28,1,0,WEST BENGAL,EAST,197.0
2017-06-29,1,0,WEST BENGAL,EAST,194.0
2017-06-30,1,0,WEST BENGAL,EAST,737.0
2017-07-01,1,0,WEST BENGAL,EAST,119.0
2017-07-02,1,0,WEST BENGAL,EAST,14.0
2017-07-05,1,0,WEST BENGAL,EAST,119.0
2017-07-06,1,0,WEST BENGAL,EAST,11.0
2017-07-07,1,0,WEST BENGAL,EAST,47.0
2017-07-10,1,0,WEST BENGAL,EAST,151.0
2017-07-11,1,0,WEST BENGAL,EAST,118.0
2017-07-12,1,0,WEST BENGAL,EAST,121.0
2017-07-13,1,0,WEST BENGAL,EAST,108.0
2017-07-14,1,0,WEST BENGAL,EAST,131.0
2017-07-15,1,0,WEST BENGAL,EAST,99.0
2017-07-16,1,0,WEST BENGAL,EAST,67.0
2017-07-17,1,0,WEST BENGAL,EAST,146.0
2017-07-18,1,0,WEST BENGAL,EAST,131.0
2017-07-19,1,0,WEST BENGAL,EAST,146.0
2017-07-20,1,0,WEST BENGAL,EAST,97.0
2017-07-21,1,0,WEST BENGAL,EAST,115.0
2017-07-22,1,0,WEST BENGAL,EAST,79.0
2017-07-23,1,0,WEST BENGAL,EAST,46.0
2017-07-24,1,0,WEST BENGAL,EAST,82.0
2017-07-25,1,0,WEST BENGAL,EAST,84.0
2017-07-26,1,0,WEST BENGAL,EAST,120.0
2017-07-27,1,0,WEST BENGAL,EAST,90.0
2017-07-28,1,0,WEST BENGAL,EAST,112.0
2017-07-29,1,0,WEST BENGAL,EAST,93.0
2017-07-30,1,0,WEST BENGAL,EAST,86.0
2017-07-31,1,0,WEST BENGAL,EAST,730.0
2017-08-01,1,0,WEST BENGAL,EAST,67.0
2017-08-03,1,0,WEST BENGAL,EAST,5.0
2017-08-04,1,0,WEST BENGAL,EAST,13.0
2017-08-05,1,0,WEST BENGAL,EAST,8.0
2017-08-06,1,0,WEST BENGAL,EAST,11.0
2017-08-07,1,0,WEST BENGAL,EAST,181.0
2017-08-08,1,0,WEST BENGAL,EAST,143.0
2017-08-09,1,0,WEST BENGAL,EAST,114.0
2017-08-10,1,0,WEST BENGAL,EAST,143.0
2017-08-11,1,0,WEST BENGAL,EAST,154.0
2017-08-12,1,0,WEST BENGAL,EAST,132.0
2017-08-13,1,0,WEST BENGAL,EAST,81.0
2017-08-14,1,0,WEST BENGAL,EAST,205.0
2017-08-15,1,0,WEST BENGAL,EAST,80.0
2017-08-16,1,0,WEST BENGAL,EAST,209.0
2017-08-17,1,0,WEST BENGAL,EAST,145.0
2017-08-18,1,0,WEST BENGAL,EAST,152.0
2017-08-19,1,0,WEST BENGAL,EAST,149.0
2017-08-20,1,0,WEST BENGAL,EAST,125.0
2017-08-21,1,0,WEST BENGAL,EAST,184.0
2017-08-22,1,0,WEST BENGAL,EAST,181.0
2017-08-23,1,0,WEST BENGAL,EAST,190.0
2017-08-24,1,0,WEST BENGAL,EAST,157.0
2017-08-25,1,0,WEST BENGAL,EAST,206.0
2017-08-26,1,0,WEST BENGAL,EAST,162.0
2017-08-27,1,0,WEST BENGAL,EAST,136.0
2017-08-28,1,0,WEST BENGAL,EAST,227.0
2017-08-29,1,0,WEST BENGAL,EAST,157.0
2017-08-30,1,0,WEST BENGAL,EAST,215.0
2017-08-31,1,0,WEST BENGAL,EAST,1409.0
2017-09-04,1,0,WEST BENGAL,EAST,16.0
2017-09-05,1,0,WEST BENGAL,EAST,119.0
2017-09-07,1,0,WEST BENGAL,EAST,108.0
2017-09-08,1,0,WEST BENGAL,EAST,232.0
2017-09-09,1,0,WEST BENGAL,EAST,190.0
2017-09-10,1,0,WEST BENGAL,EAST,205.0
2017-09-11,1,0,WEST BENGAL,EAST,270.0
2017-09-12,1,0,WEST BENGAL,EAST,263.0
2017-09-13,1,0,WEST BENGAL,EAST,257.0
2017-09-14,1,0,WEST BENGAL,EAST,326.0
2017-09-15,1,0,WEST BENGAL,EAST,377.0
2017-09-16,1,0,WEST BENGAL,EAST,312.0
2017-09-17,1,0,WEST BENGAL,EAST,140.0
2017-09-18,1,0,WEST BENGAL,EAST,345.0
2017-09-19,1,0,WEST BENGAL,EAST,329.0
2017-09-20,1,0,WEST BENGAL,EAST,344.0
2017-09-21,1,0,WEST BENGAL,EAST,317.0
2017-09-22,1,0,WEST BENGAL,EAST,351.0
2017-09-23,1,0,WEST BENGAL,EAST,361.0
2017-09-24,1,0,WEST BENGAL,EAST,427.0
2017-09-25,1,0,WEST BENGAL,EAST,427.0
2017-09-26,1,0,WEST BENGAL,EAST,539.0
2017-09-27,1,0,WEST BENGAL,EAST,323.0
2017-09-28,1,0,WEST BENGAL,EAST,103.0
2017-09-29,1,0,WEST BENGAL,EAST,53.0
2017-09-30,1,0,WEST BENGAL,EAST,1423.0
2017-10-01,1,0,WEST BENGAL,EAST,34.0
2017-10-02,1,0,WEST BENGAL,EAST,17.0
2017-10-03,1,0,WEST BENGAL,EAST,8.0
2017-10-04,1,0,WEST BENGAL,EAST,18.0
2017-10-05,1,0,WEST BENGAL,EAST,13.0
2017-10-06,1,0,WEST BENGAL,EAST,8.0
2017-10-07,1,0,WEST BENGAL,EAST,15.0
2017-10-08,1,0,WEST BENGAL,EAST,18.0
2017-10-09,1,0,WEST BENGAL,EAST,99.0
2017-10-10,1,0,WEST BENGAL,EAST,141.0
2017-10-11,1,0,WEST BENGAL,EAST,279.0
2017-10-12,1,0,WEST BENGAL,EAST,229.0
2017-10-13,1,0,WEST BENGAL,EAST,260.0
2017-10-14,1,0,WEST BENGAL,EAST,239.0
2017-10-15,1,0,WEST BENGAL,EAST,256.0
2017-10-16,1,0,WEST BENGAL,EAST,415.0
2017-10-17,1,0,WEST BENGAL,EAST,437.0
2017-10-18,1,0,WEST BENGAL,EAST,404.0
2017-10-19,1,0,WEST BENGAL,EAST,285.0
2017-10-20,1,0,WEST BENGAL,EAST,148.0
2017-10-21,1,0,WEST BENGAL,EAST,67.0
2017-10-22,1,0,WEST BENGAL,EAST,125.0
2017-10-23,1,0,WEST BENGAL,EAST,227.0
2017-10-24,1,0,WEST BENGAL,EAST,198.0
2017-10-25,1,0,WEST BENGAL,EAST,198.0
2017-10-26,1,0,WEST BENGAL,EAST,164.0
2017-10-27,1,0,WEST BENGAL,EAST,204.0
2017-10-28,1,0,WEST BENGAL,EAST,166.0
2017-10-29,1,0,WEST BENGAL,EAST,122.0
2017-10-30,1,0,WEST BENGAL,EAST,203.0
2017-10-31,1,0,WEST BENGAL,EAST,1066.0
2017-11-01,1,0,WEST BENGAL,EAST,58.0
2017-11-02,1,0,WEST BENGAL,EAST,6.0
2017-11-03,1,0,WEST BENGAL,EAST,9.0
2017-11-04,1,0,WEST BENGAL,EAST,13.0
2017-11-05,1,0,WEST BENGAL,EAST,11.0
2017-11-06,1,0,WEST BENGAL,EAST,11.0
2017-11-07,1,0,WEST BENGAL,EAST,10.0
2017-11-08,1,0,WEST BENGAL,EAST,123.0
2017-11-09,1,0,WEST BENGAL,EAST,135.0
2017-11-10,1,0,WEST BENGAL,EAST,136.0
2017-11-11,1,0,WEST BENGAL,EAST,136.0
2017-11-12,1,0,WEST BENGAL,EAST,93.0
2017-11-13,1,0,WEST BENGAL,EAST,169.0
2017-11-14,1,0,WEST BENGAL,EAST,139.0
2017-11-15,1,0,WEST BENGAL,EAST,90.0
2017-11-16,1,0,WEST BENGAL,EAST,101.0
2017-11-17,1,0,WEST BENGAL,EAST,122.0
2017-11-18,1,0,WEST BENGAL,EAST,135.0
2017-11-19,1,0,WEST BENGAL,EAST,249.0
2017-11-20,1,0,WEST BENGAL,EAST,5.0
2017-11-21,1,0,WEST BENGAL,EAST,149.0
2017-11-22,1,0,WEST BENGAL,EAST,138.0
2017-11-23,1,0,WEST BENGAL,EAST,127.0
2017-11-24,1,0,WEST BENGAL,EAST,130.0
2017-11-25,1,0,WEST BENGAL,EAST,120.0
2017-11-26,1,0,WEST BENGAL,EAST,75.0
2017-11-27,1,0,WEST BENGAL,EAST,143.0
2017-11-28,1,0,WEST BENGAL,EAST,126.0
2017-11-29,1,0,WEST BENGAL,EAST,147.0
2017-11-30,1,0,WEST BENGAL,EAST,456.0
2017-12-01,1,0,WEST BENGAL,EAST,4.0
2017-12-02,1,0,WEST BENGAL,EAST,15.0
2017-12-03,1,0,WEST BENGAL,EAST,18.0
2017-12-04,1,0,WEST BENGAL,EAST,120.0
2017-12-05,1,0,WEST BENGAL,EAST,147.0
2017-12-06,1,0,WEST BENGAL,EAST,133.0
2017-12-07,1,0,WEST BENGAL,EAST,112.0
2017-12-08,1,0,WEST BENGAL,EAST,149.0
2017-12-09,1,0,WEST BENGAL,EAST,121.0
2017-12-10,1,0,WEST BENGAL,EAST,61.0
2017-12-11,1,0,WEST BENGAL,EAST,189.0
2017-12-12,1,0,WEST BENGAL,EAST,175.0
2017-12-13,1,0,WEST BENGAL,EAST,169.0
2017-12-14,1,0,WEST BENGAL,EAST,157.0
2017-12-15,1,0,WEST BENGAL,EAST,176.0
2017-12-16,1,0,WEST BENGAL,EAST,99.0
2017-12-17,1,0,WEST BENGAL,EAST,115.0
2017-12-18,1,0,WEST BENGAL,EAST,243.0
2017-12-19,1,0,WEST BENGAL,EAST,170.0
2017-12-20,1,0,WEST BENGAL,EAST,231.0
2017-12-21,1,0,WEST BENGAL,EAST,116.0
2017-12-22,1,0,WEST BENGAL,EAST,92.0
2017-12-23,1,0,WEST BENGAL,EAST,159.0
2017-12-24,1,0,WEST BENGAL,EAST,110.0
2017-12-25,1,0,WEST BENGAL,EAST,128.0
2017-12-26,1,0,WEST BENGAL,EAST,182.0
2017-12-27,1,0,WEST BENGAL,EAST,175.0
2017-12-28,1,0,WEST BENGAL,EAST,167.0
2017-12-29,1,0,WEST BENGAL,EAST,217.0
2017-12-30,1,0,WEST BENGAL,EAST,178.0
2017-12-31,1,0,WEST BENGAL,EAST,930.0
2018-01-01,1,0,WEST BENGAL,EAST,85.0
2018-01-02,1,0,WEST BENGAL,EAST,15.0
2018-01-03,1,0,WEST BENGAL,EAST,13.0
2018-01-04,1,0,WEST BENGAL,EAST,15.0
2018-01-05,1,0,WEST BENGAL,EAST,136.0
2018-01-06,1,0,WEST BENGAL,EAST,103.0
2018-01-08,1,0,WEST BENGAL,EAST,13.0
2018-01-09,1,0,WEST BENGAL,EAST,132.0
2018-01-10,1,0,WEST BENGAL,EAST,136.0
2018-01-11,1,0,WEST BENGAL,EAST,130.0
2018-01-12,1,0,WEST BENGAL,EAST,160.0
2018-01-13,1,0,WEST BENGAL,EAST,130.0
2018-01-14,1,0,WEST BENGAL,EAST,126.0
2018-01-15,1,0,WEST BENGAL,EAST,182.0
2018-01-16,1,0,WEST BENGAL,EAST,170.0
2018-01-17,1,0,WEST BENGAL,EAST,183.0
2018-01-18,1,0,WEST BENGAL,EAST,140.0
2018-01-19,1,0,WEST BENGAL,EAST,198.0
2018-01-20,1,0,WEST BENGAL,EAST,183.0
2018-01-21,1,0,WEST BENGAL,EAST,163.0
2018-01-22,1,0,WEST BENGAL,EAST,156.0
2018-01-23,1,0,WEST BENGAL,EAST,196.0
2018-01-24,1,0,WEST BENGAL,EAST,154.0
2018-01-25,1,0,WEST BENGAL,EAST,143.0
2018-01-26,1,0,WEST BENGAL,EAST,78.0
2018-01-27,1,0,WEST BENGAL,EAST,141.0
2018-01-28,1,0,WEST BENGAL,EAST,120.0
2018-01-29,1,0,WEST BENGAL,EAST,174.0
2018-01-30,1,0,WEST BENGAL,EAST,177.0
2018-01-31,1,0,WEST BENGAL,EAST,677.0
2018-02-01,1,0,WEST BENGAL,EAST,76.0
2018-02-02,1,0,WEST BENGAL,EAST,11.0
2018-02-03,1,0,WEST BENGAL,EAST,9.0
2018-02-05,1,0,WEST BENGAL,EAST,176.0
2018-02-06,1,0,WEST BENGAL,EAST,194.0
2018-02-07,1,0,WEST BENGAL,EAST,191.0
2018-02-08,1,0,WEST BENGAL,EAST,132.0
2018-02-09,1,0,WEST BENGAL,EAST,187.0
2018-02-10,1,0,WEST BENGAL,EAST,156.0
2018-02-11,1,0,WEST BENGAL,EAST,115.0
2018-02-12,1,0,WEST BENGAL,EAST,182.0
2018-02-13,1,0,WEST BENGAL,EAST,205.0
2018-02-14,1,0,WEST BENGAL,EAST,242.0
2018-02-15,1,0,WEST BENGAL,EAST,150.0
2018-02-16,1,0,WEST BENGAL,EAST,201.0
2018-02-17,1,0,WEST BENGAL,EAST,154.0
2018-02-18,1,0,WEST BENGAL,EAST,126.0
2018-02-19,1,0,WEST BENGAL,EAST,156.0
2018-02-20,1,0,WEST BENGAL,EAST,164.0
2018-02-21,1,0,WEST BENGAL,EAST,187.0
2018-02-22,1,0,WEST BENGAL,EAST,165.0
2018-02-23,1,0,WEST BENGAL,EAST,200.0
2018-02-24,1,0,WEST BENGAL,EAST,179.0
2018-02-25,1,0,WEST BENGAL,EAST,135.0
2018-02-26,1,0,WEST BENGAL,EAST,215.0
2018-02-27,1,0,WEST BENGAL,EAST,181.0
2018-02-28,1,0,WEST BENGAL,EAST,729.0
2018-03-01,1,0,WEST BENGAL,EAST,6.0
2018-03-03,1,0,WEST BENGAL,EAST,11.0
2018-03-05,1,0,WEST BENGAL,EAST,255.0
2018-03-06,1,0,WEST BENGAL,EAST,192.0
2018-03-07,1,0,WEST BENGAL,EAST,192.0
2018-03-08,1,0,WEST BENGAL,EAST,180.0
2018-03-09,1,0,WEST BENGAL,EAST,215.0
2018-03-10,1,0,WEST BENGAL,EAST,185.0
2018-03-11,1,0,WEST BENGAL,EAST,148.0
2018-03-12,1,0,WEST BENGAL,EAST,249.0
2018-03-13,1,0,WEST BENGAL,EAST,228.0
2018-03-14,1,0,WEST BENGAL,EAST,228.0
2018-03-15,1,0,WEST BENGAL,EAST,163.0
